id,date,due_date,supplier_type,supplier_id,supplier_taxid,project_id,stock_subttl,stock_tax,stock_grandttl,expense_subttl,expense_tax,expense_grandttl,asset_subttl,asset_tax,asset_grandttl,grandtax,grandttl,status,paidttl,note,ins,user_id,doc_ref_type,doc_ref,po_id,created_at,updated_at,suppliername,tid,tax,amountpaid,is_tax_exc
86,2022-04-29,2022-05-30,supplier,8,NULL,288,0,0,0,26150,0,26150,0,0,0,0,26150,Paid,26150,"Fan ya tp 150mm@13,000,12inch flexible duct non insulated@3,800,Round diffuser grill 2pcs@9,000,Aluminiun tape 1 pc@,350",1,1,DNote,1042,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,26150,1
87,2022-05-04,2022-06-04,supplier,8,NULL,340,0,0,0,3000,0,3000,0,0,0,0,3000,Paid,3000,"Discharge pipe sensor for toshiba 1 pc@,3,000",1,1,DNote,1048,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,3000,1
88,2022-05-05,2022-06-05,supplier,8,NULL,NULL,0,0,0,18000,0,18000,0,0,0,0,18000,Paid,18000,"R22 gas 2 cylinders@18,000",1,1,DNote,1050,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,18000,1
89,2022-05-05,2022-06-05,supplier,8,NULL,468,0,0,0,9000,0,9000,0,0,0,0,9000,Paid,9000,"R22 gas 1 cylinder@9,000",1,1,DNote,1054,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9000,1
90,2022-05-05,2022-06-05,supplier,8,NULL,339,0,0,0,70410,0,70410,0,0,0,0,70410,Paid,70410,"Copper pipe 5/8 2 pcs@17,000,3/8 copper pipe 2pcs@8,000,Amoflex 3/8 16pcs@1760,Mounting brackert 1 pc@1,000,condensate pump 2ltrs@14,000,Cable ties 1 pkt@250,Copper rods 1 pkt@1,300,Wrapping tape 2 pcs@500,Conta glue 1/2 ltr@600,r410 gas 2 cylinders@26,000",1,1,DNote,1055,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,70410,1
91,2022-05-06,2022-06-06,supplier,8,NULL,340,0,0,0,11100,0,11100,0,0,0,0,11100,Paid,11100,"Toshiba wired remote@4,000,Conta glue 1/2 ltr@600,Circuit breaker 63 amps@,6,500",1,1,DNote,1057,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,11100,1
92,2022-05-06,2022-06-06,supplier,8,NULL,339,0,0,0,2560,0,2560,0,0,0,0,2560,Paid,2560,"5/8 16Pcs  amorflex@,2560",1,1,DNote,Peter boda,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,2560,1
93,2022-05-07,2022-06-07,supplier,8,NULL,346,0,0,0,13560,0,13560,0,0,0,0,13560,Paid,13560,"Copperpipe 1/2 1 pc@7,500,d.p switch 32amps@500,circuit breaker 32amps@4,500,Tangit glue 1/2 ltr@500,Amoflrx 1/2 4 pcs@560",1,1,DNote,1062,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,13560,1
94,2022-05-10,2022-06-10,supplier,8,NULL,345,0,0,0,26000,0,26000,0,0,0,0,26000,Paid,26000,"Contactor 63Amps 2pcs@13,000,3 phase failure 2pcs@,13,000",1,1,DNote,1073,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,26000,1
95,2022-05-12,2022-06-12,supplier,8,NULL,NULL,0,0,0,300000,0,300000,0,0,0,0,300000,pmt,300000,Payment via equity Bank ref:76746098,1,1,Equity Bank,76746098,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,300000,1
96,2022-05-25,2022-06-25,supplier,8,NULL,NULL,0,0,0,300000,0,300000,0,0,0,0,300000,pmt,300000,Payment via equity Bank ref:76784019,1,1,Equity Bank,76784019,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,300000,1
97,2022-05-12,2022-06-12,supplier,8,NULL,353,0,0,0,57000,0,57000,0,0,0,0,57000,Paid,57000,"2 Cylinders or r410@26,000,24,000 btu comp r410 1 pc22,000,R22 gas 1 cylinder@9000",1,1,DNote,1077,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,57000,1
98,2022-05-12,2022-06-12,supplier,8,NULL,201,0,0,0,26000,0,26000,0,0,0,0,26000,Paid,26000,"2 Cylinders of r410@26,000",1,1,DNote,1078,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,26000,1
99,2022-05-14,2022-06-14,supplier,8,NULL,358,0,0,0,96550,0,96550,0,0,0,0,96550,Paid,96550,"5/8 coppper pipe 2 pcs@17,000,3/8 copper pipe 2 pcs8,000,Amoflex 5/8 10 pcs@1600,Amoflex 3/8 1100 pcs@,Cable tie 1 pkt@250,1roll cable 2.5mm@15,000,R410 cylinder 3 pcs@39,000,Condensate pump 2 liters14,000,Flex pipe 3mtrs@600",1,1,DNote,1082,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,96550,1
